,시도,시군구,읍면,동리,단지코드,단지명,단지분류,법정동주소,도로명주소,분양형태,사용승인일,가입일,동수,세대수,분양세대수,임대세대수,관리방식,난방방식,복도유형,시공사,시행사,주택관리업자,일반관리-관리방식,일반관리-인원,경비관리-관리방식,경비관리-인원,경비관리-계약업체,청소관리-관리방식,청소관리-인원,음식물 처리방법,소독관리-관리방식,연간소독횟수,소독방법,건물구조,전기-수전용량,전기-세대전기계약방식,전기안전관리자선임여부,화재수신반방식,급수방식,승강기관리형태,승강기(승객용),승강기(화물용),승강기(승객+화물),승강기(장애우),승강기(비상용),승강기(기타),총주차대수,지상주차대수,지하주차대수,CCTV대수,"주차관제, 홈네트워크",관리사무소 주소,관리사무소 연락처,관리사무소 팩스,부대복리시설,최고층수,최고층수(건축물대장상),지하층수,주소,위도,경도
10,서울특별시,종로구,,숭인동,A11087601,롯데캐슬천지인,아파트,서울특별시 종로구 숭인동 76 롯데캐슬천지인,서울특별시 종로구 종로 347,분양,20040909,20090511,2,220,220,0,위탁관리,개별난방,타워형,롯데건설,롯데건설,삼정알엠씨(주),위탁관리,9.0,위탁관리,4.0,삼정알엠씨,위탁관리,8.0,차량수거방식,위탁관리,18.0,"분무식,기구부착식,독이식",철근콘크리트구조,3650,종합계약,상주선임,R형,부스타방식,위탁관리,0.0,0.0,2.0,0.0,0.0,0.0,220,0.0,220.0,88.0,유,종로구 종로 347,0236706111,236706114.0,"관리사무소, 주민공동시설, 자전거보관소",30,30.0,4,종로 347,37.5711068,127.0057042
11,서울특별시,종로구,,숭인동,A11087602,종로센트레빌,아파트,서울특별시 종로구 숭인동 2-1 종로센트레빌,서울특별시 종로구 동망산길 47,분양,20081121,20090806,6,416,416,0,위탁관리,개별난방,계단식,동부건설,숭인제4구역재정비사업조합,(주)덕우,위탁관리,5.0,위탁관리,5.0,한국보안컨설팅,위탁관리,5.0,음식물쓰레기종량제,위탁관리,4.0,"분무식,독이식",철근콘크리트구조,2350,단일계약,상주선임,R형,부스타방식,위탁관리,18.0,0.0,0.0,0.0,0.0,0.0,512,3.0,509.0,126.0,유,서울시 종로구 동망산길 47,0236721213,236721244.0,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",12,12.0,3,동망산길 47,37.5800523,127.0153737
12,서울특별시,종로구,,숭인동,A11055002,종로청계힐스테이트,아파트,서울특별시 종로구 숭인동 766 종로청계힐스테이트,서울특별시 종로구 숭인동길 21,분양,20090320,20090511,6,288,288,0,위탁관리,개별난방,계단식,현대건설,숭인5구역주택개발조합,서림주택관리(주),위탁관리,4.0,위탁관리,8.0,국제경보산업(주),위탁관리,3.0,음식물쓰레기종량제,위탁관리,4.0,"분무식,독이식",철근콘크리트구조,1750,종합계약,상주선임,R형,부스타방식,위탁관리,10.0,0.0,0.0,0.0,0.0,0.0,342,0.0,342.0,93.0,무,서울시 종로구 숭인동길 21,029290540,29290541.0,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",20,20.0,2,숭인동길 21,37.5760493,127.0217865
13,서울특별시,종로구,,교남동,A10026940,경희궁자이4단지주상복합,주상복합,서울특별시 종로구 교남동 62-1 경희궁자이4단지주상복합,서울특별시 종로구 송월길 155,분양,20170629,20170712,3,182,182,0,위탁관리,개별난방,계단식,지에스건설,돈의문지역주택조합,자이에스앤디(주),위탁관리,5.0,위탁관리,2.0,동진파트너스(주),위탁관리,4.0,차량수거방식,위탁관리,4.0,"도포식,독이식",철골철근콘크리트구조,1700,종합계약,상주선임,P형,부스타방식,위탁관리,4.0,0.0,0.0,0.0,0.0,0.0,222,0.0,222.0,31.0,유,서울시 종로구 송월길 155,0232100985,232100986.0,"관리사무소, 커뮤니티공간, 자전거보관소, 기타",19,19.0,5,송월길 155,37.5704666,126.9654458
14,서울특별시,종로구,,평동,A10027105,경희궁자이3단지,주상복합,서울특별시 종로구 평동 233 경희궁자이3단지,서울특별시 종로구 경교장길 35,분양,20170224,20170316,8,589,589,0,위탁관리,개별난방,계단식,자이건설(주),돈의문1구역 도시환경 사업조합,우리관리(주),위탁관리,7.0,위탁관리,10.0,(주)에이디티캡스,위탁관리,8.0,음식물쓰레기종량제,위탁관리,12.0,"도포식,분무식,기구부착식,독이식",철근콘크리트구조,5057.32,단일계약,상주선임,R형,부스타방식,위탁관리,25.0,0.0,0.0,0.0,0.0,0.0,734,0.0,734.0,238.0,유,"서울특별시 종로구 경교장길 35 관리사무소(평동,경희궁자이)",027372101,27372102.0,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",20,20.0,4,경교장길 35,37.5681192,126.9665014
15,서울특별시,종로구,,홍파동,A10027118,경희궁자이2단지 아파트,주상복합,서울특별시 종로구 홍파동 199 경희궁자이2단지 아파트,서울특별시 종로구 송월길 99,분양,20170224,20170314,14,1148,1148,0,위탁관리,개별난방,계단식,GS건설,돈의문1구역 도시환경 사업조합,(주)타워피엠씨,위탁관리,19.0,위탁관리,8.0,(주)에스원,위탁관리,16.0,음식물쓰레기종량제,위탁관리,12.0,분무식,철근콘크리트구조,8500,종합계약,상주선임,R형,부스타방식,위탁관리,40.0,0.0,0.0,0.0,0.0,0.0,1456,0.0,1456.0,363.0,유,서울특별시 종로구 송월길 99 경희궁자이아파트,027232107,27232109.0,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",21,21.0,2,송월길 99,37.5695902,126.9634175
16,서울특별시,종로구,,행촌동,A10026946,경희궁자이1단지(임대아파트),아파트,서울특별시 종로구 행촌동 211 경희궁자이1단지(임대아파트),서울특별시 종로구 송월길 130,국민임대,20170629,20170710,5,496,496,0,위탁관리,개별난방,복도식,GS자이,서울주택도시공사(구 SH공사),주식회사 한빛종합관리,위탁관리,5.0,위탁관리,2.0,(주)승학,위탁관리,4.0,차량수거방식,위탁관리,12.0,독이식,철근콘크리트구조,2600,단일계약,상주선임,GR형,부스타방식,위탁관리,9.0,0.0,8.0,0.0,0.0,1.0,501,0.0,501.0,109.0,유,서울특별시 종로구 송월길 130,027395383,27395385.0,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",19,19.0,2,송월길 130,37.5704666,126.9654458
17,서울특별시,종로구,,평창동,A11084601,평창롯데,아파트,서울특별시 종로구 평창동 72 평창롯데,서울특별시 종로구 평창문화로 140,분양,20010430,20090511,3,156,156,0,위탁관리,개별난방,계단식,롯데건설,북악맨션재건축조합,율산개발(주),위탁관리,3.0,자치관리(직영),4.0,,위탁관리,3.0,기타,위탁관리,12.0,-,철근콘크리트구조,750,종합계약,위탁선임,P형,부스타방식,위탁관리,6.0,0.0,0.0,0.0,0.0,0.0,256,3.0,253.0,52.0,무,서울 종로구평창문화로140,023790120,63250120.0,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",14,14.0,2,평창문화로 140,37.607765,126.9723584
18,서울특별시,종로구,,평창동,A11001203,평창삼성,아파트,서울특별시 종로구 평창동 596 평창삼성,서울특별시 종로구 평창문화로 172,분양,19980502,20090511,2,176,176,0,위탁관리,개별난방,복도식,삼성중공업(주),중소기업은행 평창동 주택조합,신한영주택관리(주),위탁관리,3.0,자치관리(직영),2.0,,자치관리(직영),2.0,음식물쓰레기종량제,위탁관리,12.0,분무식,철근콘크리트구조,1015,종합계약,위탁선임,P형,고가수조식,위탁관리,4.0,0.0,0.0,0.0,0.0,0.0,170,20.0,150.0,32.0,무,서울특별시 종로구 평창문화로 172,0232163063,232163064.0,"관리사무소, 노인정, 어린이놀이터",15,15.0,2,평창문화로 172,37.607765,126.9723584
19,서울특별시,종로구,,무악동,A10025710,경희궁 롯데캐슬아파트,아파트,서울특별시 종로구 무악동 46 경희궁 롯데캐슬아파트,서울특별시 종로구 통일로 230,분양,20190122,20190225,4,195,195,0,위탁관리,개별난방,계단식,롯데건설(주),무악제2구역주택재개발정비사업조합,세화종합관리(주),위탁관리,4.0,위탁관리,3.0,성화개발(주),위탁관리,2.0,음식물쓰레기종량제,관리방식미정,,-,철근콘크리트구조,1348,종합계약,상주선임,R형,부스타방식,위탁관리,8.0,0.0,8.0,0.0,0.0,0.0,245,0.0,245.0,134.0,유,서울시 종로구 통일로 230,027324400,27324100.0,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",16,16.0,2,통일로 230,37.58578,126.9474
20,서울특별시,종로구,,무악동,A11081503,무악현대,아파트,서울특별시 종로구 무악동 82 무악현대,서울특별시 종로구 통일로 246-20,분양,20001021,20090511,12,964,964,0,위탁관리,개별난방,혼합식,현대건설,무악 제1구역 주택개발조합,세화종합관리(주),위탁관리,10.0,위탁관리,24.0,세화종합관리(주),위탁관리,10.0,음식물쓰레기종량제,위탁관리,4.0,"도포식,분무식,기구부착식,독이식",철근콘크리트구조,3000,단일계약,상주선임,R형,고가수조식,관리방식미정,25.0,0.0,0.0,0.0,0.0,0.0,1162,283.0,879.0,120.0,무,서울시 종로구 통일로 246-20 무악현대아파트 104-103,027220422,27220423.0,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",23,23.0,2,통일로 246-20,37.58578,126.9474
21,서울특별시,종로구,,무악동,A11008001,무악현대임대,아파트,서울특별시 종로구 무악동 83 무악현대임대,서울특별시 종로구 통일로 246-11,임대,20001021,20090511,2,550,550,0,위탁관리,개별난방,복도식,현대산업개발,SH공사,주식회사 한빛종합관리,위탁관리,5.0,위탁관리,4.0,(주)경진이엔지,위탁관리,2.0,음식물쓰레기종량제,위탁관리,4.0,"도포식,독이식",철근콘크리트구조,1650,단일계약,상주선임,P형,부스타방식,위탁관리,8.0,0.0,0.0,0.0,0.0,0.0,205,42.0,163.0,58.0,무,서울 종로구 통일로 246-11(무악동),027340448,27340449.0,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",22,22.0,2,통일로 246-11,37.6272026,126.9202638
22,서울특별시,종로구,,무악동,A10027708,인왕산2차아이파크아파트,아파트,서울특별시 종로구 무악동 71-1 인왕산2차아이파크아파트,서울특별시 종로구 통일로18길 34,분양,20150828,20160203,5,167,167,0,위탁관리,개별난방,계단식,현대산업개발,무악연립제2주택재건축정비사업,세화종합관리(주),위탁관리,2.0,자치관리(직영),2.0,,자치관리,2.0,음식물쓰레기종량제,위탁관리,4.0,분무식,철골철근콘크리트구조,950,단일계약,위탁선임,R형,부스타방식,위탁관리,7.0,0.0,0.0,0.0,0.0,0.0,212,0.0,212.0,70.0,유,종로구통일로18길34,027398381,27398382.0,"관리사무소, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",17,17.0,3,통일로18길 34,37.576544,0.0
23,서울특별시,종로구,,무악동,A11081302,인왕산아이파크,아파트,서울특별시 종로구 무악동 60 인왕산아이파크,서울특별시 종로구 통일로18길 9,분양,20080725,20090511,17,810,810,0,위탁관리,개별난방,계단식,현대산업개발,현대산업개발,한국주택시설관리(주),위탁관리,8.0,위탁관리,7.0,(주)동익,위탁관리,8.0,,위탁관리,12.0,-,철근콘크리트구조,3000,종합계약,상주선임,R형,수도직결식,위탁관리,29.0,0.0,0.0,0.0,0.0,0.0,1044,65.0,979.0,248.0,무,서울시 종로구 통일로 18길 9,027203328,27203329.0,"관리사무소, 노인정, 어린이놀이터",17,17.0,0,통일로18길 9,37.576544,126.9593132
24,서울특별시,중구,,회현동1가,A10088101,남산SK리더스뷰,주상복합,서울특별시 중구 회현동1가 206 남산SK리더스뷰,서울특별시 중구 퇴계로 72,분양,20100111,20100226,2,233,233,0,위탁관리,개별난방,계단식,SK건설,마커스홀딩스,(주)타워피엠씨,위탁관리,8.0,위탁관리,6.0,(주)타워피엠씨,위탁관리,8.0,거점장비수거방식,위탁관리,12.0,분무식,철골철근콘크리트구조,2550,종합계약,상주선임,R형,부스타방식,위탁관리,6.0,2.0,0.0,0.0,0.0,0.0,567,0.0,567.0,196.0,유,"서울시 중구 퇴계로 72 (구, 회현동 1가 206)",0264018522,263298522.0,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",30,30.0,7,퇴계로 72,37.8604118,127.7337748
25,서울특별시,중구,,회현동1가,A10088102,남산롯데캐슬아이리스,주상복합,서울특별시 중구 회현동1가 208 남산롯데캐슬아이리스,서울특별시 중구 소공로 35,분양,20111118,20120524,2,386,386,0,위탁관리,중앙난방,복도식,(주)롯데건설,군인공제회,(주)타워피엠씨,위탁관리,12.0,위탁관리,11.0,(유)미래환경,위탁관리,10.0,음식물쓰레기종량제,위탁관리,12.0,"분무식,독이식",철근콘크리트구조,7675,종합계약,상주선임,R형,부스타방식,위탁관리,10.0,0.0,0.0,0.0,0.0,0.0,760,0.0,760.0,242.0,유,서울특별시 중구 소공로 35,023884114,237897785.0,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",32,32.0,7,소공로 35,37.5597632,126.982249
26,서울특별시,중구,,회현동2가,A10072501,쌍용남산플래티넘,주상복합,서울특별시 중구 회현동2가 87 쌍용남산플래티넘,서울특별시 중구 소공로 46,분양,20100805,20101217,2,236,236,0,위탁관리,개별난방,계단식,쌍용건설(주),(주)해창,우리관리(주),위탁관리,9.0,위탁관리(직영+위탁),6.0,주식회사홈스웰,위탁관리,9.0,차량수거방식,위탁관리,12.0,독이식,철근콘크리트구조,5150,단일계약,상주선임,GR형,부스타방식,위탁관리,3.0,0.0,0.0,2.0,2.0,0.0,605,0.0,605.0,146.0,유,서울 중구 소공로 46,023180285,23180286.0,"관리사무소, 어린이놀이터, 휴게시설, 커뮤니티공간",33,33.0,7,소공로 46,37.559439749999996,126.98337316996876
27,서울특별시,중구,,충무로4가,A10071301,남산센트럴자이,아파트,서울특별시 중구 충무로4가 306 남산센트럴자이,서울특별시 중구 퇴계로 235,분양,20091221,20100122,2,273,273,0,위탁관리,개별난방,복도식,GS건설(주),휴먼넥스(주),우리관리(주),위탁관리,5.0,위탁관리,6.0,주식회사 에스원,위탁관리,4.0,차량수거방식,위탁관리,12.0,"도포식,분무식,독이식",기타철골철근콘크리트구조,6825,종합계약,상주선임,R형,부스타방식,위탁관리,6.0,0.0,0.0,0.0,2.0,0.0,481,0.0,481.0,266.0,유,서울시 중구 퇴계로235,0222640070,222640040.0,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",32,32.0,7,퇴계로 235,37.8604118,127.7337748
28,서울특별시,중구,,충무로4가,A10086301,충무로진양,주상복합,서울특별시 중구 충무로4가 120-3 충무로진양,서울특별시 중구 퇴계로 217,분양,19700523,20090511,2,288,288,0,자치관리,개별난방,복도식,알수 없음,알수 없음,자치관리,자치관리,5.0,자치관리(직영),4.0,,자치관리(직영),3.0,차량수거방식,자치관리,,-,철근콘크리트구조,900,단일계약,위탁선임,P형,고가수조식,위탁관리,3.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,66.0,무,서울시 중구 퇴계로 217 진양아파트 18층,0222795300,222795305.0,관리사무소,16,16.0,1,퇴계로 217,37.85788065,127.7370654
29,서울특별시,중구,,충무로5가,A10025223,충무로엘크루메트로시티2,도시형 생활주택(주상복합),서울특별시 중구 충무로5가 36-2 충무로엘크루메트로시티2,서울특별시 중구 퇴계로49길 14,분양,20160610,20191104,1,171,171,0,자치관리,개별난방,복도식,대우조선해양건설,대우조선해양건설, ,자치관리,5.0,자치관리,2.0,,자치관리,2.0,음식물쓰레기종량제,위탁관리,12.0,분무식,철근콘크리트구조,1500,단일계약,상주선임,P형,부스타방식,위탁관리,3.0,0.0,0.0,0.0,0.0,0.0,212,0.0,212.0,43.0,유,서울시 중구 퇴계로49길 14,0222614506,222614507.0,관리사무소,20,20.0,5,퇴계로49길 14,37.5632531,126.9998184
30,서울특별시,중구,,인현동2가,A10028201,인현신성,주상복합,서울특별시 중구 인현동2가 192-30 인현신성,서울특별시 중구 마른내로 72,분양,19680530,20090511,1,180,180,0,자치관리,개별난방,복도식,오래되서 모름,오래되서 모름, ,자치관리,3.0,자치관리,2.0,,자치관리,1.0,,자치관리,2.0,-,철골철근콘크리트구조,500,단일계약,위탁선임,P형,수도직결식,위탁관리,2.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,37.0,무,서울시 중구 인현동2가 192-30  신성아파트,0222677087,222687087.0,관리사무소,10,10.0,5,마른내로 72,37.5643193,126.9973687
31,서울특별시,중구,,오장동,A10024327,오렌지카운티 을지로,도시형 생활주택(주상복합),서울특별시 중구 오장동 145-1 오렌지카운티 을지로,서울특별시 중구 동호로33길 15,분양,20200820,20210416,1,157,157,0,자치관리,개별난방,혼합식,(주)오렌지이앤씨,케이비부동산신탁, ,자치관리,1.0,자치관리(직영),0.0,,자치관리,1.0,음식물쓰레기종량제,자치관리,2.0,분무식,철골철근콘크리트구조,950,단일계약,위탁선임,GR형,압력탱크식,위탁관리,1.0,0.0,0.0,0.0,1.0,0.0,142,1.0,141.0,16.0,무,서울시 중그 오장동 145-1,,222697558.0,주민공동시설,15,15.0,3,동호로33길 15,37.5653878,127.0003741
32,서울특별시,중구,,신당동,A10078901,래미안신당하이베르,아파트,서울특별시 중구 신당동 851 래미안신당하이베르,서울특별시 중구 퇴계로90길 74,분양,20111028,20120131,15,784,784,0,위탁관리,개별난방,계단식,(주)삼성물산,6개발구역조합,우리관리(주),위탁관리,7.0,위탁관리,8.0,㈜에스원동부,위탁관리,10.0,음식물쓰레기종량제,위탁관리,12.0,-,철근콘크리트구조,4050,종합계약,상주선임,GR형,부스타방식,위탁관리,30.0,0.0,0.0,0.0,0.0,0.0,968,0.0,968.0,279.0,유,"중구 퇴계로 90길 74,(래미안신당하이베르)",0222317402,222317751.0,"관리사무소, 노인정, 보육시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",15,15.0,6,퇴계로90길 74,37.5636546,127.0218094
33,서울특별시,중구,,신당동,A10078902,래미안신당하이베르임대,아파트,서울특별시 중구 신당동 851-1 래미안신당하이베르임대,서울특별시 중구 퇴계로90길 74,임대,20111028,20120427,1,161,161,0,위탁관리,개별난방,복도식,삼성물산(주),신당제6주택 재개발 정비사업조합,대한종합개발(주),위탁관리,3.0,위탁관리,2.0,(주)위더스엠엔씨,위탁관리,1.0,음식물쓰레기종량제,위탁관리,12.0,"도포식,분무식,독이식",철근콘크리트구조,760,단일계약,상주선임,R형,부스타방식,위탁관리,2.0,0.0,0.0,0.0,0.0,0.0,161,8.0,153.0,33.0,무,서울 중구 퇴계로 90길 74,0222566908,222566909.0,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,15.0,2,퇴계로90길 74,37.5636546,127.0218094
